model,area,school,condval,condsd
Null,Reading,7600001,-76.7986158802881,13.5535997186529
Null,Reading,7600002,19.1410185605759,14.4196697131085
Null,Reading,7600005,113.830610075827,17.2999619240136
Null,Reading,7600006,52.6386000882857,15.9836920510424
Null,Reading,7600007,-52.3012427793903,24.0434535555487
Null,Reading,7600009,-15.0840789263656,16.3535917886392
Null,Reading,7600010,-61.1821575193933,30.1668029397723
Null,Reading,7600011,-67.6618615526371,11.200195396756
Null,Reading,7600012,-19.6202548403394,28.9862052979337
Null,Reading,7600013,22.6894788468058,24.7943560171583
Null,Reading,7600014,-108.509206109335,29.1900340178437
Null,Reading,7600015,-49.425408691394,17.6296544026173
Null,Reading,7600016,-4.60556796652765,20.8638541276388
Null,Reading,7600017,-54.86375741656,20.7296983507747
Null,Reading,7600018,28.6405610181816,27.0553032241927
Null,Reading,7600019,128.093037329057,13.6482097049785
Null,Reading,7600022,143.948490393534,12.870444028776
Null,Reading,7600023,15.0596196809837,24.642551136611
Null,Reading,7600024,-46.5653833178154,36.7724299466389
Null,Reading,7600025,65.8336379760961,16.353337325037
Null,Reading,7600026,-49.3613899480611,14.3813139610523
Null,Reading,7600027,-56.8750040859501,15.2107155663048
Null,Reading,7600028,44.6463055732356,25.2811481402976
Null,Reading,7600029,-37.3814821096167,16.7141325492312
Null,Reading,7600031,12.2872616273145,20.1160182495008
Null,Reading,7600033,-52.0176364830715,16.986506060987
Null,Reading,7600034,46.2538403405345,19.0122631894916
Null,Reading,7600035,41.1269274778897,15.5197214295447
Null,Reading,7600036,-32.6026168455822,12.2785174162759
Null,Reading,7600037,48.8772918537448,29.857057094796
Null,Reading,7600038,15.6839017781296,21.342299542496
Null,Reading,7600039,-11.2198518720538,23.043374228961
Null,Reading,7600041,-52.9117550488914,15.1887437048505
Null,Reading,7600042,-15.8039241320479,19.7447176449398
Null,Reading,7600043,-70.9419089049498,15.1289852749794
Null,Reading,7600044,-97.0945835395506,16.7649938349879
Null,Reading,7600045,-4.02710008998995,21.5785727903008
Null,Reading,7600046,-37.92827717774,17.7242776198678
Null,Reading,7600047,-78.9887084113916,17.5674536120037
Null,Reading,7600048,11.5118367483135,16.1685402872579
Null,Reading,7600050,93.6763494247879,24.6703159479506
Null,Reading,7600051,20.7164859557707,17.5164644030807
Null,Reading,7600052,-84.7107555544509,32.4839409334982
Null,Reading,7600053,-59.4038556653732,22.8217811509815
Null,Reading,7600054,-84.9295804537116,20.8904416556995
Null,Reading,7600055,5.89183294262369,18.8816658818145
Null,Reading,7600057,39.2697136238156,20.9637085878251
Null,Reading,7600058,-20.1013620517052,14.9486192159213
Null,Reading,7600060,9.70759106219863,12.97629944706
Null,Reading,7600061,-2.11163168231614,16.8446076912596
Null,Reading,7600062,68.6957420921249,29.8740140816334
Null,Reading,7600063,62.3314053289331,14.9670210359001
Null,Reading,7600064,-17.630206135842,16.435148138282
Null,Reading,7600065,-110.034637958102,17.5477539676994
Null,Reading,7600066,-7.64917172683308,14.8925335799319
Null,Reading,7600067,-51.2336321046197,20.7685696371436
Null,Reading,7600068,-12.9892661272224,16.2663666612597
Null,Reading,7600069,-110.736769232,23.7653629001439
Null,Reading,7600070,-19.9611729903119,16.7382929730338
Null,Reading,7600071,60.1702951792786,33.1700215880434
Null,Reading,7600072,9.46168943426109,18.4097999754791
Null,Reading,7600073,-30.5577981044546,25.5231215922737
Null,Reading,7600074,-21.4054959585614,19.3634724389034
Null,Reading,7600075,56.7047513818744,13.57370233023
Null,Reading,7600076,-83.3104371099836,17.8244004647808
Null,Reading,7600077,-10.6946939500906,25.5055593523588
Null,Reading,7600078,32.1152386286431,14.80160785463
Null,Reading,7600080,-47.1875243040889,28.9610157892647
Null,Reading,7600081,-98.9192265571216,22.3883669774058
Null,Reading,7600082,-35.0440214526875,27.2720745268927
Null,Reading,7600083,160.333753212787,13.2509163991675
Null,Reading,7600084,-77.5870268377513,18.5034181261441
Null,Reading,7600085,9.22077951186478,14.9419247336399
Null,Reading,7600086,-11.0367883437619,17.961228000354
Null,Reading,7600087,126.511839242323,16.414939839349
Null,Reading,7600088,3.98532494427725,14.5658184722971
Null,Reading,7600089,8.07284724086271,15.6546297698675
Null,Reading,7600092,-37.3265481114029,14.9506679832656
Null,Reading,7600093,-27.3143532046969,18.2690357762411
Null,Reading,7600094,7.25632210978122,11.5215473226524
Null,Reading,7600095,111.366261976212,24.1464254659184
Null,Reading,7600097,79.5897596514932,19.1210581370577
Null,Reading,7600098,-13.3227323064958,14.2920612388662
Null,Reading,7600099,26.9427135567526,18.0800207727551
Null,Reading,7600100,-50.4677536353252,16.1946982512651
Null,Reading,7600101,-67.0963468400941,16.520570680925
Null,Reading,7600102,81.1666159887805,32.4826248087343
Null,Reading,7600103,-4.93485267472966,14.7782792845284
Null,Reading,7600105,-10.5748309814875,19.899093025972
Null,Reading,7600106,-9.41660530976626,16.4036611244739
Null,Reading,7600107,2.36839230877131,16.9710790217086
Null,Reading,7600108,20.0034032184306,15.3114413987241
Null,Reading,7600109,6.05939431218032,15.9406187676584
Null,Reading,7600110,25.5875830021553,17.1908075144359
Null,Reading,7600111,21.2000487271354,23.4995347844083
Null,Reading,7600113,15.7913293712479,15.7468841105081
Null,Reading,7600114,54.0275808763277,21.4657729220443
Null,Reading,7600115,-76.080549876337,26.1335154726805
Null,Reading,7600116,-26.5504837540693,17.2926097577291
Null,Reading,7600117,9.41053965697779,14.9929983804031
Null,Reading,7600119,69.4527772244145,14.8640987096118
Null,Reading,7600121,9.81507087738632,14.6129788345891
Null,Reading,7600122,-62.2150606432337,28.2327801389698
Null,Reading,7600123,-0.094322379321039,16.7724310179474
Null,Reading,7600124,-102.092633474301,14.3354143273516
Null,Reading,7600125,-41.1816709957087,30.8051848983363
Null,Reading,7600127,-53.3041640482361,18.4117789353992
Null,Reading,7600128,5.54189682359589,21.3684293579749
Null,Reading,7600129,-31.1816717628025,21.1640588359504
Null,Reading,7600130,-46.5762882905152,13.971037390519
Null,Reading,7600131,3.33576950203007,12.2544125005187
Null,Reading,7600132,-25.5772800384589,20.895426993485
Null,Reading,7600133,-42.5554372790424,17.1386565644286
Null,Reading,7600136,82.0776413617525,16.354121587354
Null,Reading,7600137,-42.8915247408495,24.4679536807634
Null,Reading,7600138,-26.2031219039234,15.9244312116505
Null,Reading,7600139,-55.0412391570016,18.3931677166931
Null,Reading,7600140,13.481402921002,13.5867443508859
Null,Reading,7600143,-38.6873485226942,19.6001826574621
Null,Reading,7600144,-11.8471257832052,14.2378433706051
Null,Reading,7600145,-83.6600399979069,22.4737919297218
