model,area,school,condval,condsd
Level 1,Reading,7600001,-18.4139146178488,12.5568115031446
Level 1,Reading,7600002,-4.55594516217391,13.3193849671136
Level 1,Reading,7600005,73.5836857732022,15.8035870152761
Level 1,Reading,7600006,20.8530092199705,14.6786050785997
Level 1,Reading,7600007,-8.40492169312164,21.2633944548382
Level 1,Reading,7600009,-20.6529718997159,14.9965452446143
Level 1,Reading,7600010,-6.45943864233073,25.7345937934444
Level 1,Reading,7600011,-75.1116356452843,10.4519760868783
Level 1,Reading,7600012,-32.3168482900861,24.9102997908201
Level 1,Reading,7600013,-25.7789664103245,21.8375228878494
Level 1,Reading,7600014,-41.5247093563533,25.0539136731878
Level 1,Reading,7600015,8.71647208194176,16.0825350272924
Level 1,Reading,7600016,19.9575141732979,18.7553238907392
Level 1,Reading,7600017,-4.86924444641404,18.6468303276159
Level 1,Reading,7600018,71.7178195345192,23.5230066265964
Level 1,Reading,7600019,78.587687934682,12.6404455319727
Level 1,Reading,7600022,100.835343315377,11.9505769647097
Level 1,Reading,7600023,-4.65314092834002,21.7220267151121
Level 1,Reading,7600024,3.53047538781352,30.0108698962637
Level 1,Reading,7600025,32.7885293954766,14.9963270018539
Level 1,Reading,7600026,-72.487381680067,13.2857582607892
Level 1,Reading,7600027,-43.1721806353117,14.0098055872059
Level 1,Reading,7600028,30.8930683078792,22.2059201573119
Level 1,Reading,7600029,16.6074071995363,15.3051002830296
Level 1,Reading,7600031,2.93812101837231,18.1478595221754
Level 1,Reading,7600033,-44.3115784283164,15.5373110829102
Level 1,Reading,7600034,2.0071094104108,17.23952616984
Level 1,Reading,7600035,28.8706909746246,14.2778712773626
Level 1,Reading,7600036,-23.0791471188767,11.4220742250858
Level 1,Reading,7600037,7.18010131818674,25.5200921375917
Level 1,Reading,7600038,-17.6890270364865,19.1405209343688
Level 1,Reading,7600039,35.9059444228632,20.4878287864413
Level 1,Reading,7600041,-47.1361829055695,13.9907094118557
Level 1,Reading,7600042,-44.2752214145733,17.843847274408
Level 1,Reading,7600043,-15.6611942798753,13.9387485828051
Level 1,Reading,7600044,-32.6484079888906,15.3485203014877
Level 1,Reading,7600045,44.4251864328239,19.3297427210768
Level 1,Reading,7600046,-21.1954026429608,16.1623802410478
Level 1,Reading,7600047,-17.7147562878338,16.0299964051893
Level 1,Reading,7600048,-6.20635031598722,14.8376606446175
Level 1,Reading,7600050,31.9751342463739,21.7431724373742
Level 1,Reading,7600051,26.9503121281964,15.9868969754257
Level 1,Reading,7600052,-29.3113124353818,27.2993911340581
Level 1,Reading,7600053,-7.36228942259769,20.3143112952739
Level 1,Reading,7600054,-31.0349856657916,18.7768004686086
Level 1,Reading,7600055,-11.8765851524728,17.1311406975042
Level 1,Reading,7600057,10.536545468569,18.8359401525944
Level 1,Reading,7600058,-19.5962573269325,13.7817091893322
Level 1,Reading,7600060,2.69882810456745,12.0447782653631
Level 1,Reading,7600061,-3.15866311577065,15.4164324409744
Level 1,Reading,7600062,13.7724792116536,25.5318674698335
Level 1,Reading,7600063,55.8894615172786,13.7977454047586
Level 1,Reading,7600064,-16.7690581789304,15.0664586921414
Level 1,Reading,7600065,-48.0580151557375,16.0133482577016
Level 1,Reading,7600066,-7.21129005418297,13.7328135550984
Level 1,Reading,7600067,3.04380908623023,18.678287794951
Level 1,Reading,7600068,-20.6037131049229,14.9216973287223
Level 1,Reading,7600069,-48.5757596249522,21.0489797267715
Level 1,Reading,7600070,-36.5093916711639,15.3257292492874
Level 1,Reading,7600071,22.7601568489827,27.7492331934224
Level 1,Reading,7600072,-2.90042554325011,16.7379502533206
Level 1,Reading,7600073,12.6479301019401,22.387924223397
Level 1,Reading,7600074,-9.20533973266626,17.5300531904927
Level 1,Reading,7600075,16.9629465097575,12.5745886248166
Level 1,Reading,7600076,-83.6162299576408,16.2467615331373
Level 1,Reading,7600077,-15.421512146665,22.3747395675828
Level 1,Reading,7600078,33.7399128208866,13.6534805248209
Level 1,Reading,7600080,-50.4627998116566,24.8925140989639
Level 1,Reading,7600081,-40.706736984418,19.9731922061134
Level 1,Reading,7600082,20.1718673853171,23.6811591488904
Level 1,Reading,7600083,99.4990746253078,12.2887112288814
Level 1,Reading,7600084,-19.6494269460591,16.8161548346868
Level 1,Reading,7600085,8.86744114906709,13.775874497774
Level 1,Reading,7600086,-17.4327452399266,16.3619020657302
Level 1,Reading,7600087,70.3439613344718,15.0491416348244
Level 1,Reading,7600088,-7.70207959653464,13.4473886376906
Level 1,Reading,7600089,13.0880384883352,14.3946122853359
Level 1,Reading,7600092,-16.8037620330844,13.7834947422328
Level 1,Reading,7600093,-31.4368903326559,16.6201808008538
Level 1,Reading,7600094,-9.52313825322436,10.7420340723479
Level 1,Reading,7600095,54.0898393341644,21.3425435005618
Level 1,Reading,7600097,57.458187034667,17.3296716918459
Level 1,Reading,7600098,4.05995881115019,13.2074570146708
Level 1,Reading,7600099,25.0871877238379,16.4617020754914
Level 1,Reading,7600100,-51.7109520126976,14.8601408485979
Level 1,Reading,7600101,-7.56912011043265,15.1396135187031
Level 1,Reading,7600102,41.7856027890354,27.2985222806448
Level 1,Reading,7600103,-15.4606034468627,13.6331135958548
Level 1,Reading,7600105,-28.7542579407005,17.9704385147249
Level 1,Reading,7600106,-25.5941584651793,15.0394747750068
Level 1,Reading,7600107,-15.7548515213677,15.5241794542883
Level 1,Reading,7600108,11.1211357799417,14.0972884753613
Level 1,Reading,7600109,-16.0963411203514,14.6414926802235
Level 1,Reading,7600110,-6.84072282715738,15.7109792463478
Level 1,Reading,7600111,-8.13769166816337,20.8431204750303
Level 1,Reading,7600113,7.56698574827147,14.4743397797326
Level 1,Reading,7600114,4.19624786586479,19.2394888426028
Level 1,Reading,7600115,-24.9621825131108,22.8437265590579
Level 1,Reading,7600116,-33.9815722635598,15.7973533081339
Level 1,Reading,7600117,8.07709534085354,13.8203777728995
Level 1,Reading,7600119,37.4017005628404,13.7080124816053
Level 1,Reading,7600121,-20.6933300188954,13.4886511160064
Level 1,Reading,7600122,-10.4981368139361,24.3747496471088
Level 1,Reading,7600123,-1.73547035326828,15.3548671428874
Level 1,Reading,7600124,-36.4536071298574,13.2454998227822
Level 1,Reading,7600125,24.2541084294786,26.172718025861
Level 1,Reading,7600127,-77.7249836903596,16.7396043883429
Level 1,Reading,7600128,-11.6083405454456,19.1614799653699
Level 1,Reading,7600129,-51.6184557268989,18.9973356553956
Level 1,Reading,7600130,-11.1146280162779,12.9252167069393
Level 1,Reading,7600131,-17.9336397397001,11.4004903590704
Level 1,Reading,7600132,3.17249082136403,18.7808265433393
Level 1,Reading,7600133,-50.1983977591073,15.6666895189704
Level 1,Reading,7600136,76.9947546541923,14.9969996286383
Level 1,Reading,7600137,6.28257688360856,21.5888307050891
Level 1,Reading,7600138,-46.9376786836634,14.6275405081054
Level 1,Reading,7600139,2.27878012421297,16.7240463005653
Level 1,Reading,7600140,-6.07391088909132,12.5861200095409
Level 1,Reading,7600143,-19.9133668638801,17.7250784533025
Level 1,Reading,7600144,-5.77828205974103,13.1598557812293
Level 1,Reading,7600145,-23.5489183115728,20.0406071634274
Level 1,Reading,7600147,-17.9051930448552,13.7809374098208
Level 1,Reading,7600148,-8.03375496659827,26.8467436009675
Level 1,Reading,7600149,117.797041479313,15.2227801341582
Level 1,Reading,7600150,-2.06745908956559,15.5449162174825
Level 1,Reading,7600151,10.8162177985366,18.4096564158353
Level 1,Reading,7600152,-61.4526999047355,28.148739192506
Level 1,Reading,7600153,-46.2614231433027,17.0278374343897
Level 1,Reading,7600155,9.07174216339312,22.2527357246931
Level 1,Reading,7600156,-61.7409986860303,12.2559487491593
Level 1,Reading,7600158,32.1225452583562,14.7937907541943
Level 1,Reading,7600159,2.51555472835478,12.5787537810342
Level 1,Reading,7600161,10.4250126287245,15.8256263837286
Level 1,Reading,7600163,-25.3119315006507,13.1192399431573
Level 1,Reading,7600164,-1.72806018889639,14.2712384211962
Level 1,Reading,7600165,0.628236701774064,13.2728406122439
Level 1,Reading,7600166,-32.7439006834983,18.0348143065299
Level 1,Reading,7600170,-30.1860448834185,16.9197110054167
Level 1,Reading,7600172,-21.9981578518279,15.2542429440983
Level 1,Reading,7600175,-5.23078233321851,23.1341860597311
Level 1,Reading,7600176,1.06690841747502,14.1850904913323
Level 1,Reading,7600178,-17.2813994697274,13.7286827694491
Level 1,Reading,7600179,-23.8759262107985,13.5511399136586
Level 1,Reading,7600182,-52.141447833922,17.9657395081506
Level 1,Reading,7600183,44.9442211665098,16.5314021036461
Level 1,Reading,7600184,5.06427541165385,18.7704047959401
Level 1,Reading,7600185,-51.0065386528764,14.5552104767098
Level 1,Reading,7600186,105.935868877004,16.7701082507766
Level 1,Reading,7600187,25.974200478882,14.992427231432
Level 1,Reading,7600188,45.5499547952287,14.5638500999744
Level 1,Reading,7600191,-12.9585432457879,22.1594623917058
Level 1,Reading,7600192,8.62865878340103,27.8428408924242
Level 1,Reading,7600193,-38.1500053934477,18.5755241861569
Level 1,Reading,7600194,7.59875491435405,14.7038990553923
Level 1,Reading,7600195,19.1463412578301,9.0505058231827
Level 1,Reading,7600196,60.5072658697134,14.4202290662057
Level 1,Reading,7600197,-50.8021123017475,15.2696891377681
Level 1,Reading,7600198,-25.2196630061933,13.1167358890476
Level 1,Reading,7600200,-63.2903458720581,14.0925715031036
Level 1,Reading,7600201,-14.3519020781414,18.9358741415595
Level 1,Reading,7600202,-41.6833814960943,17.1526944554722
Level 1,Reading,7600203,11.8909572235943,32.0465551191489
Level 1,Reading,7600204,58.4833352948776,12.6133574089226
Level 1,Reading,7600205,-42.1493486950658,16.6695159511725
Level 1,Reading,7600206,-83.3806022137958,16.099288220472
Level 1,Reading,7600207,-2.78181601564204,20.1743265876373
Level 1,Reading,7600208,-46.5259319936766,16.0351047433627
Level 1,Reading,7600209,-4.99386370368317,21.5528756468168
Level 1,Reading,7600212,36.7188077517995,30.5265925840347
Level 1,Reading,7600213,30.2758335927999,9.22482727909335
Level 1,Reading,7600214,-19.0079610427411,12.5055498015568
Level 1,Reading,7600215,27.7131083772674,15.8925413101423
Level 1,Reading,7600217,44.5272628588749,11.7602637062368
Level 1,Reading,7600218,-26.794900795312,17.7035470050037
Level 1,Reading,7600219,12.4717030576626,11.6531496405608
Level 1,Reading,7600220,-10.6087891119961,23.5230066265964
Level 1,Reading,7600222,99.9606220056365,12.3395324890292
Level 1,Reading,7600223,-34.1004265311258,12.3630426755143
Level 1,Reading,7600224,-16.3501974981261,21.2121537845575
Level 1,Reading,7600225,-18.0830968460395,16.1047003285106
Level 1,Reading,7600227,-18.584434241395,11.8698721481412
Level 1,Reading,7600228,-39.7955748739156,26.0668631168347
Level 1,Reading,7600229,12.5989672584715,18.0997045455284
Level 1,Reading,7600230,-43.9279913703994,12.1127340958289
Level 1,Reading,7600231,76.0217678529314,12.6636078950329
Level 1,Reading,7600232,-42.4355267279431,18.2827205280113
Level 1,Reading,7600233,53.3882632381909,10.4482704280118
Level 1,Reading,7600234,20.270149739534,16.2166500794566
Level 1,Reading,7600235,14.344954677187,28.5931464170382
Level 1,Reading,7600236,-55.8407240837403,17.1482005164305
Level 1,Reading,7600237,-12.9627119138004,14.3984657467439
Level 1,Reading,7600238,-16.1006597106522,23.3113244737243
Level 1,Reading,7600239,35.1806679634581,13.1911442541502
Level 1,Reading,7600241,32.4037321959841,24.6445188895955
Level 1,Reading,7600242,-14.9710748889928,13.6366857943126
Level 1,Reading,7600243,-20.6456923615833,16.9339702013821
Level 1,Reading,7600244,-10.9255422869411,19.8309174705395
Level 1,Reading,7600245,15.5271140069823,20.4723995138809
Level 1,Reading,7600246,-16.1446710780565,19.0640782629427
Level 1,Reading,7600247,141.044503340151,14.404438763883
Level 1,Reading,7600249,8.11082456542489,32.9214901938505
Level 1,Reading,7600250,-14.4486408696522,14.7017394968312
Level 1,Reading,7600251,14.9096858711068,19.5526259275025
Level 1,Reading,7600252,-30.6142875023448,29.2972255988371
Level 1,Reading,7600253,21.4100786459169,9.45376663611764
Level 1,Reading,7600254,44.3514836757367,14.4551556794331
Level 1,Reading,7600255,16.5042585776821,13.417771586437
Level 1,Reading,7600256,44.2527121346819,33.9037613148896
Level 1,Reading,7600259,-26.6843651410095,24.4843477127587
Level 1,Reading,7600260,-6.82702462646563,15.3132450498468
Level 1,Reading,7600261,-47.770276249551,17.8527625766273
Level 1,Reading,7600262,-38.5927358925557,20.811121996738
Level 1,Reading,7600263,35.0309259989015,9.60676773467836
Level 1,Reading,7600264,12.3975411753747,23.0600463759177
Level 1,Reading,7600268,-18.265144551374,15.9448566867294
Level 1,Reading,7600269,65.0286385149961,11.4878834740376
Level 1,Reading,7600270,2.44188212903464,15.1089846421544
Level 1,Reading,7600271,5.8283075213025,20.6320736142764
Level 1,Reading,7600273,-37.8153371390791,15.938938256881
Level 1,Reading,7600274,-20.5353942427943,13.2463264275548
Level 1,Reading,7600275,23.7275605573895,27.3523623485322
Level 1,Reading,7600276,79.2130082810692,8.8624140453212
Level 1,Reading,7600277,-12.573036397185,15.934260985134
Level 1,Reading,7600278,7.64834044956041,21.7927678767871
Level 1,Reading,7600279,4.09321409437771,19.5445483052164
Level 1,Reading,7600280,-28.1646315797126,13.5810292491423
Level 1,Reading,7600281,-28.5871091828112,12.6147293450664
Level 1,Reading,7600282,-7.2442875265998,11.3196180511292
Level 1,Reading,7600283,-4.40254645252203,13.7763391688575
Level 1,Reading,7600284,-11.7472159802456,14.8476935463188
Level 1,Reading,7600285,32.0207073569536,19.6751092967329
Level 1,Reading,7600286,8.79793401915662,14.7867030612694
Level 1,Reading,7600287,9.89494483953282,18.8887617100725
Level 1,Reading,7600288,0.643222320298899,21.5085620408911
Level 1,Reading,7600289,-41.9643147024457,25.9322038274259
Level 1,Reading,7600290,-15.0543047171342,16.0819162734472
Level 1,Reading,7600291,2.51899984914226,13.4497171504289
Level 1,Reading,7600293,-41.871366319665,18.853255463626
Level 1,Reading,7600294,73.5957515804599,16.4743956107814
Level 1,Reading,7600295,-14.7372063299829,15.6007009003415
Level 1,Reading,7600296,16.1686268178872,17.8571523325587
Level 1,Reading,7600297,7.18216898011509,16.0070356292523
Level 1,Reading,7600298,-26.7399681179857,16.3572761546314
Level 1,Reading,7600299,-4.80014051269577,19.193930254558
Level 1,Reading,7600300,-54.7535146313027,15.7698339063197
Level 1,Reading,7600302,-41.8189889207003,19.0986755818165
Level 1,Reading,7600304,43.6640200625135,18.2321675937955
Level 1,Reading,7600305,-12.2106538433064,21.2065119696346
Level 1,Reading,7600307,70.9482887931365,14.049289164501
Level 1,Reading,7600308,-21.9924379257037,14.2878806599165
Level 1,Reading,7600309,-11.0549093878688,18.2977103508277
Level 1,Reading,7600310,-40.996797904805,18.1026078216276
Level 1,Reading,7600312,-7.25486930179319,14.7413902153839
Level 1,Reading,7600313,5.23163812980977,25.2060119290738
Level 1,Reading,7600316,-26.9319879849348,27.509433178367
Level 1,Reading,7600317,-40.3865013580004,16.8857707402928
Level 1,Reading,7600318,89.9508334967388,18.5907765818873
Level 1,Reading,7600319,-5.21240003378169,18.1403924293263
Level 1,Reading,7600320,35.6978259992923,13.760564130281
Level 1,Reading,7600322,-12.5827482975372,19.1646899974005
Level 1,Reading,7600323,-5.48005959155326,13.7564142804992
Level 1,Reading,7600324,51.2775776236432,14.7013241740658
Level 1,Reading,7600325,7.59955830350338,13.2498242503545
Level 1,Reading,7600326,42.061749629054,13.6594544081415
Level 1,Reading,7600327,-38.2989455818294,18.8405946640151
Level 1,Reading,7600328,48.7387081881312,24.5336754622601
Level 1,Reading,7600329,124.369505084226,15.7578473023438
Level 1,Reading,7600330,-4.60191662976909,17.2090583349531
Level 1,Reading,7600332,-7.55579382528446,31.3271032103852
Level 1,Reading,7600333,44.7196501761218,18.7970928467681
Level 1,Reading,7600334,-34.537224448425,19.8698601328985
Level 1,Reading,7600335,-13.4535376281733,14.0696827650898
Level 1,Reading,7600336,-55.5214239865541,19.9777383320609
Level 1,Reading,7600337,-13.3091069344482,13.4313838533562
Level 1,Reading,7600338,-32.4822739327118,16.5515341675757
Level 1,Reading,7600339,-20.8876086212027,17.5327373061986
Level 1,Reading,7600341,-33.9435846087166,13.4350439386133
Level 1,Reading,7600342,-54.9517478722736,21.1634899434706
Level 1,Reading,7600343,55.5603831467818,13.9743017108962
Level 1,Reading,7600344,6.69725578437237,31.4434710447265
Level 1,Reading,7600345,16.8389853826849,20.6648361407808
Level 1,Reading,7600347,44.0187088763993,19.6675433531423
Level 1,Reading,7600348,-30.7888181650127,14.6438368683179
Level 1,Reading,7600349,5.67809658830875,18.6478830622271
Level 1,Reading,7600351,-50.9038322122614,30.3559455121773
Level 1,Reading,7600352,-1.49966936432443,16.1853423337487
Level 1,Reading,7600353,-22.278783268866,13.3142915123892
Level 1,Reading,7600354,-42.5781654222707,15.1757825616767
Level 1,Reading,7600357,-19.8034980002517,19.9986633525477
Level 1,Reading,7600358,-1.53408437278978,25.4377184026119
Level 1,Reading,7600359,-4.52034924946974,17.5455928024646
Level 1,Reading,7600360,-13.4672775892623,13.4018433476242
Level 1,Reading,7600361,21.14044231198,16.1459824376866
Level 1,Reading,7600362,-1.8320412653493,18.6600866852709
Level 1,Reading,7600363,-26.2802515782836,14.1796915584401
Level 1,Reading,7600364,18.0310907923408,21.8225610704473
Level 1,Reading,7600365,15.6668568498441,14.8363047301419
Level 1,Reading,7600366,-39.6214342651789,15.61444302373
Level 1,Reading,7600367,25.6589162967278,13.8382777143232
Level 1,Reading,7600368,-31.3939264606267,24.3631894814572
Level 1,Reading,7600369,-48.7348427297632,15.3518579757384
Level 1,Reading,7600370,-27.333259486512,25.2208929057946
Level 1,Reading,7600372,19.9956771366648,23.5059099620801
Level 1,Reading,7600373,-12.8766898560209,13.5321847037366
Level 1,Reading,7600374,9.23126370349137,14.0585353991407
Level 1,Reading,7600375,-30.7525954169958,22.8825664727844
Level 1,Reading,7600376,0.947890203795769,15.3372951024948
