Variable,Coef,S.E.,t.value,p.value,Area
(Intercept),466.404172167093,8.89510256048455,52.4338161359756,0,Reading
SEXMale,-14.730229593958,2.20089643666584,-6.69283177007318,0,Reading
GRADEBehind,-45.3621298632899,3.41935402052591,-13.2662864362646,0,Reading
GRADEAhead,33.4600362454906,2.72181803973859,12.2932671313708,0,Reading
ISCEDOVocational,24.9770261939158,4.05014543483692,6.16694550745718,0,Reading
DISCLIMA,4.62820908869619,1.12780808906803,4.10372042332196,0.00002,Reading
ESCS,5.60484878419451,1.35012809814392,4.15134592924905,0.000017,Reading
SCHLTYPEPrivateInd,37.2764359554279,4.95284771187855,7.52626329818839,0,Reading
PROATCE,-2.52364801119657,2.86002029007581,-0.882388149466475,0.188783,Reading
mESCS,27.8967157067548,2.3727006205743,11.7573685718524,0,Reading
mDISCLIMA,23.5510724881243,2.04623244168884,11.5094805498669,0,Reading
(Intercept),417.097621204823,8.63413681072259,48.3079699046275,0,Mathematics
SEXMale,18.518345664258,2.46755550278874,7.50473318364237,0,Mathematics
GRADEBehind,-38.1856389868875,3.87186324543301,-9.86234186652349,0,Mathematics
GRADEAhead,28.4008445888216,2.79058691051329,10.1773732550038,0,Mathematics
ISCEDOVocational,23.1300416550939,5.04954984340494,4.58061458395213,0.000002,Mathematics
DISCLIMA,4.4365066868932,1.12825053751384,3.93219993200204,0.000042,Mathematics
ESCS,6.89908421900655,1.37531395238452,5.01637041276641,0,Mathematics
SCHLTYPEPrivateInd,38.0619560432903,4.44981127118362,8.55361131600669,0,Mathematics
PROATCE,-6.37699563962586,3.44283850702255,-1.85224942343893,0.031995,Mathematics
mESCS,23.2736961511679,2.53302000865561,9.18812171701728,0,Mathematics
mDISCLIMA,18.6806608104691,2.46909678353413,7.56578718786821,0,Mathematics
(Intercept),443.624634183923,9.08754898548361,48.8167529982579,0,Sciences
SEXMale,9.38556319481258,2.28994450502596,4.09859853555979,0.000021,Sciences
GRADEBehind,-40.784468590925,3.66694727620944,-11.1221857089487,0,Sciences
GRADEAhead,31.3434664720791,2.81890836580767,11.1190086390405,0,Sciences
ISCEDOVocational,20.7666671854591,3.7599510832349,5.52312163795289,0,Sciences
DISCLIMA,4.10431414087797,1.27684377609216,3.21442154297013,0.000654,Sciences
ESCS,7.07278237877795,1.19469118908251,5.92017622914728,0,Sciences
SCHLTYPEPrivateInd,36.6080732856584,4.4857029224291,8.16105611956897,0,Sciences
PROATCE,-6.70507732615304,2.44470435642307,-2.7426945546755,0.003047,Sciences
mESCS,23.9101618086937,2.47611023416992,9.65633980213698,0,Sciences
mDISCLIMA,19.2578574088332,2.32117076113253,8.29661381717433,0,Sciences
