model,area,school,condval,condsd
Type + mESCS,Reading,7600001,-7.87624514497683,12.0107998014242
Type + mESCS,Reading,7600002,5.56304697699348,12.6735747443765
Type + mESCS,Reading,7600005,11.8255217659593,14.7577134281166
Type + mESCS,Reading,7600006,21.585188548968,13.8284575340706
Type + mESCS,Reading,7600007,-8.1554959452618,18.9059550663953
Type + mESCS,Reading,7600009,-11.7968359965065,14.0935654966603
Type + mESCS,Reading,7600010,0.481720154382544,21.8465217404554
Type + mESCS,Reading,7600011,-30.2823270960987,10.1294192218576
Type + mESCS,Reading,7600012,-10.9852480387833,21.3349531053957
Type + mESCS,Reading,7600013,-21.9580094812393,19.3064853704248
Type + mESCS,Reading,7600014,-7.96831497015333,21.4250609856948
Type + mESCS,Reading,7600015,18.0895935890809,14.9843039936016
Type + mESCS,Reading,7600016,25.8301441104183,17.0762164453326
Type + mESCS,Reading,7600017,3.55296693015687,16.9941341328305
Type + mESCS,Reading,7600018,56.344346142918,20.4430470199087
Type + mESCS,Reading,7600019,9.15985690830427,12.0839954241862
Type + mESCS,Reading,7600022,27.3401354347111,11.4765734690582
Type + mESCS,Reading,7600023,-2.56996859323327,19.2264595533273
Type + mESCS,Reading,7600024,11.7112131176348,24.2879445688092
Type + mESCS,Reading,7600025,9.57392989524519,14.0933841855895
Type + mESCS,Reading,7600026,-62.5421004236542,12.6445696044114
Type + mESCS,Reading,7600027,-31.9207886693505,13.2645142982575
Type + mESCS,Reading,7600028,4.04594783147273,19.5599010958415
Type + mESCS,Reading,7600029,20.7291650363035,14.3489851703797
Type + mESCS,Reading,7600031,9.72133054231549,16.6135198167962
Type + mESCS,Reading,7600033,-21.5699804960392,14.5399882072903
Type + mESCS,Reading,7600034,0.848304405296157,15.9075930241274
Type + mESCS,Reading,7600035,19.2036781219725,13.4915662334648
Type + mESCS,Reading,7600036,-8.89341454432898,11.0057076933496
Type + mESCS,Reading,7600037,7.61418169533958,21.7147060793951
Type + mESCS,Reading,7600038,-8.22006534360613,17.3656854375188
Type + mESCS,Reading,7600039,32.6120389084984,18.354056207301
Type + mESCS,Reading,7600041,-32.920646033424,13.2482884284729
Type + mESCS,Reading,7600042,-27.0102573130901,16.3791214846759
Type + mESCS,Reading,7600043,-17.1110952268172,13.2041032556641
Type + mESCS,Reading,7600044,-15.3586973735151,14.3847797876218
Type + mESCS,Reading,7600045,39.2352357072912,17.506761954926
Type + mESCS,Reading,7600046,-8.90133591043832,15.0488794241359
