Variable,Coef,S.E.,t.value,p.value,Area
(Intercept),419.91313559835,6.96460764901794,60.2924323608611,0,Reading
SEXMale,-14.9082107312579,2.24934716682866,-6.6277944779315,0,Reading
GRADEBehind,-51.4407115970693,3.57763023871658,-14.3784315775246,0,Reading
GRADEAhead,33.8741024859561,2.71070114044343,12.4964356935397,0,Reading
ISCEDOVocational,29.9969282245161,4.77055709919034,6.2879298163326,0,Reading
DISCLIMA,5.54760079564478,1.10640492678699,5.01407817457488,0,Reading
ESCS,7.66691430785217,1.36074472724635,5.63435165636629,0,Reading
SCHLTYPEPrivateInd,82.2490935364072,2.92309960808982,28.1376294221309,0,Reading
PROATCE,1.13186440524058,2.74379525464386,0.412517808435197,0.33998,Reading
(Intercept),378.508531714815,6.75226031344802,56.0565668596877,0,Mathematics
SEXMale,18.3656059059699,2.50087054446369,7.34368516060409,0,Mathematics
GRADEBehind,-42.8439029030387,3.98573082719587,-10.7493217080044,0,Mathematics
GRADEAhead,28.6875632418896,2.7657909184183,10.3722819577032,0,Mathematics
ISCEDOVocational,27.4429109900515,5.58457825361021,4.9140525468169,0,Mathematics
DISCLIMA,5.12607795100887,1.11258461345245,4.60736009560854,0.000002,Mathematics
ESCS,8.5446167480556,1.37846133931807,6.19866259889641,0,Mathematics
SCHLTYPEPrivateInd,75.4549564573448,2.6900751291028,28.0493862944678,0,Mathematics
PROATCE,-3.40703437784824,3.43939189526838,-0.990592081854745,0.160942,Mathematics
(Intercept),403.804259820471,7.1090744847685,56.8012419458593,0,Sciences
SEXMale,9.23526807464175,2.33400028937636,3.95684101526371,0.000038,Sciences
GRADEBehind,-45.5187148032223,3.82597062621837,-11.8972985551155,0,Sciences
GRADEAhead,31.6601602692961,2.79908133632405,11.3109111401795,0,Sciences
ISCEDOVocational,25.1380984247602,4.30900507443991,5.83385212838899,0,Sciences
DISCLIMA,4.80209329095239,1.23344936745475,3.89322287372169,0.000049,Sciences
ESCS,8.73430083537098,1.19753514909825,7.29356532202665,0,Sciences
SCHLTYPEPrivateInd,75.2570091792111,2.87833140031215,26.1460543323989,0,Sciences
PROATCE,-3.60130151932633,2.40994418457477,-1.49435059217431,0.067542,Sciences
