model,area,school,condval,condsd
Type + mDISCLIMA,Reading,7600001,-7.20361824534952,12.1583966741422
Type + mDISCLIMA,Reading,7600002,13.5951407424095,12.847149379085
Type + mDISCLIMA,Reading,7600005,20.4888072414235,15.0330785351953
Type + mDISCLIMA,Reading,7600006,30.7811318707579,14.0544689729776
Type + mDISCLIMA,Reading,7600007,-7.47652421479157,19.4938066336602
Type + mDISCLIMA,Reading,7600009,-0.483477349597267,14.3329799415959
Type + mDISCLIMA,Reading,7600010,3.92893949629159,22.7669769370553
Type + mDISCLIMA,Reading,7600011,-63.9184684867639,10.217870881264
Type + mDISCLIMA,Reading,7600012,-16.5605410997195,22.189872238048
Type + mDISCLIMA,Reading,7600013,-15.1186883298556,19.9336367716592
Type + mDISCLIMA,Reading,7600014,-35.929490399481,22.2912759064802
Type + mDISCLIMA,Reading,7600015,11.6222232828863,15.2727355674236
Type + mDISCLIMA,Reading,7600016,18.0011461315859,17.5061100994074
Type + mDISCLIMA,Reading,7600017,-4.53393671009987,17.4177271287146
Type + mDISCLIMA,Reading,7600018,69.114456577336,21.1916989191195
Type + mDISCLIMA,Reading,7600019,12.6607702893573,12.2343213826225
Type + mDISCLIMA,Reading,7600022,42.361199556607,11.6052650541824
Type + mDISCLIMA,Reading,7600023,4.28975619312748,19.8456163624407
Type + mDISCLIMA,Reading,7600024,9.7156362674928,25.5712520035814
Type + mDISCLIMA,Reading,7600025,26.3079388596462,14.3327892826582
Type + mDISCLIMA,Reading,7600026,-45.7786649425749,12.816946771735
Type + mDISCLIMA,Reading,7600027,-26.0873224773817,13.4637394778207
Type + mDISCLIMA,Reading,7600028,-37.0031752517343,20.2128453267503
Type + mDISCLIMA,Reading,7600029,19.9261644616432,14.6018183759416
Type + mDISCLIMA,Reading,7600031,9.03235826886573,17.0087301672031
Type + mDISCLIMA,Reading,7600033,-41.2168254731164,14.8031866137695
Type + mDISCLIMA,Reading,7600034,5.11002401211044,16.253688407693
Type + mDISCLIMA,Reading,7600035,40.8915025029845,13.7012985318534
Type + mDISCLIMA,Reading,7600036,-10.8648775799904,11.1191641610796
Type + mDISCLIMA,Reading,7600037,3.76571629847141,22.6179459834637
Type + mDISCLIMA,Reading,7600038,-17.263852877456,17.818317232953
Type + mDISCLIMA,Reading,7600039,43.9302651717558,18.8906179974385
Type + mDISCLIMA,Reading,7600041,-33.2846706824034,13.4467768160383
Type + mDISCLIMA,Reading,7600042,-33.2780760164853,16.7575231680682
Type + mDISCLIMA,Reading,7600043,5.13945742753874,13.4005947049396
Type + mDISCLIMA,Reading,7600044,-18.9745942466873,14.6395337526202
Type + mDISCLIMA,Reading,7600045,52.4512729345833,17.9707719376474
Type + mDISCLIMA,Reading,7600046,-15.6801909207645,15.3411113235907
Type + mDISCLIMA,Reading,7600047,-6.46846626446998,15.2276896611078
Type + mDISCLIMA,Reading,7600048,-3.12904880573213,14.1939879409551
Type + mDISCLIMA,Reading,7600050,-20.7297220306811,19.8617489806709
Type + mDISCLIMA,Reading,7600051,36.4586489164473,15.1907046974524
Type + mDISCLIMA,Reading,7600052,-13.1873016634695,23.8298402251571
Type + mDISCLIMA,Reading,7600053,1.74299864710751,18.7542517748056
Type + mDISCLIMA,Reading,7600054,-16.208218348673,17.5235824639216
Type + mDISCLIMA,Reading,7600055,-3.36729618295287,16.1626998344565
Type + mDISCLIMA,Reading,7600057,20.9708269991786,17.5716560203819
Type + mDISCLIMA,Reading,7600058,-7.04980990433549,13.2607845834253
Type + mDISCLIMA,Reading,7600060,7.78965476459639,11.6915317487691
Type + mDISCLIMA,Reading,7600061,1.01471579189317,14.6984658752233
Type + mDISCLIMA,Reading,7600062,6.61609544548561,22.6261481238542
Type + mDISCLIMA,Reading,7600063,65.2886792404555,13.2750775969505
Type + mDISCLIMA,Reading,7600064,-8.56446999767824,14.3940201405129
Type + mDISCLIMA,Reading,7600065,-28.2287303825391,15.2134067931515
Type + mDISCLIMA,Reading,7600066,2.21175624366708,13.2171814559954
Type + mDISCLIMA,Reading,7600067,15.4379749731385,17.4433737644469
Type + mDISCLIMA,Reading,7600068,-9.39827198198179,14.2675501913498
Type + mDISCLIMA,Reading,7600069,-24.8531046920557,19.3280841196456
Type + mDISCLIMA,Reading,7600070,-25.6446819947145,14.6197406254081
Type + mDISCLIMA,Reading,7600071,24.2824245865006,24.1275019196421
Type + mDISCLIMA,Reading,7600072,9.24347094969672,15.8310386966681
Type + mDISCLIMA,Reading,7600073,14.4098815383088,20.3499142512896
Type + mDISCLIMA,Reading,7600074,-2.87389231329706,16.4966472242813
Type + mDISCLIMA,Reading,7600075,21.1096131380158,12.1745429855419
Type + mDISCLIMA,Reading,7600076,-54.4414768568,15.4132632237328
Type + mDISCLIMA,Reading,7600077,-7.39482202934427,20.3400041664453
Type + mDISCLIMA,Reading,7600078,37.2398001157226,13.1463630975655
Type + mDISCLIMA,Reading,7600080,-31.2448109779471,22.1772888496527
Type + mDISCLIMA,Reading,7600081,-21.8582529683192,18.4846684666347
Type + mDISCLIMA,Reading,7600082,31.1057670088879,21.3071959515515
Type + mDISCLIMA,Reading,7600083,23.5513410147705,11.9143790099376
Type + mDISCLIMA,Reading,7600084,-6.77854636128829,15.8972020378334
Type + mDISCLIMA,Reading,7600085,11.4134688507296,13.255583235701
Type + mDISCLIMA,Reading,7600086,-8.32046812063116,15.5115362908735
Type + mDISCLIMA,Reading,7600087,3.91180617495935,14.3789077727197
Type + mDISCLIMA,Reading,7600088,3.7558227616998,12.9619741716989
Type + mDISCLIMA,Reading,7600089,23.9807548700714,13.8044270796341
Type + mDISCLIMA,Reading,7600092,-6.64629806049608,13.2623762211086
Type + mDISCLIMA,Reading,7600093,-24.57408436284,15.7312188321493
Type + mDISCLIMA,Reading,7600094,10.5132874387516,10.4885479529383
Type + mDISCLIMA,Reading,7600095,42.7521187697702,19.5547806903436
Type + mDISCLIMA,Reading,7600097,5.1434281466436,16.3292204468912
Type + mDISCLIMA,Reading,7600098,7.16650057801292,12.7465576431012
Type + mDISCLIMA,Reading,7600099,38.697698503971,15.5965474258407
Type + mDISCLIMA,Reading,7600100,-42.4425273419324,14.2136765269089
Type + mDISCLIMA,Reading,7600101,-7.35347307034745,14.4578115306942
Type + mDISCLIMA,Reading,7600102,35.6894175351204,23.8292619059753
Type + mDISCLIMA,Reading,7600103,0.602575839531951,13.1281676948601
Type + mDISCLIMA,Reading,7600105,-12.3834718178386,16.862310591685
Type + mDISCLIMA,Reading,7600106,-25.7530395420893,14.3704696687296
Type + mDISCLIMA,Reading,7600107,-1.74385009233728,14.7918211143787
Type + mDISCLIMA,Reading,7600108,15.7170077186607,13.5413810716987
Type + mDISCLIMA,Reading,7600109,-6.60492071304388,14.0218609635785
Type + mDISCLIMA,Reading,7600110,6.78740822525395,14.9532485020516
Type + mDISCLIMA,Reading,7600111,0.944661279914128,19.168227956218
Type + mDISCLIMA,Reading,7600113,24.7908789451629,13.8747432628601
Type + mDISCLIMA,Reading,7600114,10.6751338409614,17.8981301607834
Type + mDISCLIMA,Reading,7600115,-22.4023636305036,20.6906470710048
Type + mDISCLIMA,Reading,7600116,-15.7167149819091,15.0277090921565
Type + mDISCLIMA,Reading,7600117,11.326872808362,13.2952434833128
Type + mDISCLIMA,Reading,7600119,-15.9498948158405,13.195051852505
Type + mDISCLIMA,Reading,7600121,-5.58671112301726,12.9989393862827
Type + mDISCLIMA,Reading,7600122,-0.812478151153504,21.8085382548996
Type + mDISCLIMA,Reading,7600123,-11.0085450928806,14.645044326758
Type + mDISCLIMA,Reading,7600124,-22.7426289830237,12.7807669888637
Type + mDISCLIMA,Reading,7600125,24.6306587226647,23.0688739064042
Type + mDISCLIMA,Reading,7600127,-57.7257656102126,15.8324391506856
Type + mDISCLIMA,Reading,7600128,-4.68304302247561,17.8352334421805
Type + mDISCLIMA,Reading,7600129,-31.7777472810392,17.7025539056957
Type + mDISCLIMA,Reading,7600130,-0.667984361874982,12.4921327619199
Type + mDISCLIMA,Reading,7600131,-9.16142932250521,11.0992367139516
Type + mDISCLIMA,Reading,7600132,15.7835775482588,17.5268570380466
Type + mDISCLIMA,Reading,7600133,-42.6027740832991,14.9150230004378
Type + mDISCLIMA,Reading,7600136,16.28526408495,14.3333768934781
