Variable,Coef,S.E.,t.value,p.value,Area
(Intercept),433.864082541209,6.51394241943415,66.6054525208557,0,Reading
SEXMale,-14.944198981258,2.25473720893502,-6.6279116351287,0,Reading
GRADEBehind,-54.2868409099326,3.70744794956742,-14.6426441175706,0,Reading
GRADEAhead,34.5610409055671,2.76007596654323,12.5217716195152,0,Reading
ISCEDOVocational,23.5089526434772,5.2940086603223,4.44067136113185,0.000004,Reading
DISCLIMA,5.63610343019605,1.11665945071935,5.04728941895875,0,Reading
ESCS,9.066696210267,1.35581283135284,6.68727718207252,0,Reading
(Intercept),387.099588204623,5.52373617717993,70.0793042585628,0,Mathematics
SEXMale,18.3425366730305,2.50659718432214,7.31770417191739,0,Mathematics
GRADEBehind,-45.0766879184744,4.0754710496552,-11.0604853694858,0,Mathematics
GRADEAhead,29.2600720002116,2.80411013592803,10.4347085463274,0,Mathematics
ISCEDOVocational,22.1833325660843,6.11163501463255,3.62968870244586,0.000142,Mathematics
DISCLIMA,5.22362016507332,1.11416598770542,4.68836800146014,0.000001,Mathematics
ESCS,9.75533570671064,1.37292109350522,7.10553268710014,0,Mathematics
(Intercept),412.245652745468,6.41462420849099,64.2665321219881,0,Sciences
SEXMale,9.21210053787211,2.33646391403515,3.94275318464582,0.00004,Sciences
GRADEBehind,-47.7965176737042,3.98754031772107,-11.98646630889,0,Sciences
GRADEAhead,32.2602235090227,2.83705418612399,11.3710283246641,0,Sciences
ISCEDOVocational,19.8721156005211,4.67717123349991,4.24874664801419,0.000011,Sciences
DISCLIMA,4.91330465798831,1.24869235174443,3.93475995198048,0.000042,Sciences
ESCS,9.98764585293991,1.19598606657055,8.35097174800637,0,Sciences
