model,area,school,condval,condsd
Full,Reading,7600001,-4.24266535346063,11.9012174144896
Full,Reading,7600002,12.0889734833051,12.5450683107427
Full,Reading,7600005,18.7759052202978,14.5560399066849
Full,Reading,7600006,23.22960811349,13.6620722086227
Full,Reading,7600007,-13.2869878666642,18.4877481265754
Full,Reading,7600009,-1.98344293179705,13.9175632603666
Full,Reading,7600010,4.63783685030705,21.2085262039655
Full,Reading,7600011,-29.813427892418,10.0633520289667
Full,Reading,7600012,-6.87931062960997,20.7395056098151
Full,Reading,7600013,-18.0683665054683,18.8617847320274
Full,Reading,7600014,-13.6830906859776,20.8222547584669
Full,Reading,7600015,15.4096425353062,14.773343547281
Full,Reading,7600016,19.6782888190667,16.7660829695132
Full,Reading,7600017,-1.96541590146705,16.688367278395
Full,Reading,7600018,59.4986418555362,19.9173577418755
Full,Reading,7600019,6.04358715905059,11.9724198029851
Full,Reading,7600022,31.2095186786425,11.3808332900761
Full,Reading,7600023,-1.59802344081071,18.7871362722126
Full,Reading,7600024,15.1741548028493,23.4203364931181
Full,Reading,7600025,-5.03763332993175,13.9173886476618
Full,Reading,7600026,-49.7095036972646,12.5169331062134
Full,Reading,7600027,-26.0011028544871,13.1174268374098
Full,Reading,7600028,-14.1578336028291,19.0978931948194
Full,Reading,7600029,18.9277242460644,14.163380148664
Full,Reading,7600031,8.04614995611324,16.3274795349698
Full,Reading,7600033,-29.1421946857576,14.3469827011048
Full,Reading,7600034,-0.390803660800081,15.6559123412634
Full,Reading,7600035,22.9968776575558,13.3368964076798
Full,Reading,7600036,-4.71186777174313,10.9211674333151
Full,Reading,7600037,1.893505945854,21.0878533133922
Full,Reading,7600038,-17.3383597952867,17.0398304818574
Full,Reading,7600039,39.011809278839,17.9706559114832
Full,Reading,7600041,-30.2182276862522,13.1017332877636
Full,Reading,7600042,-28.3330251327226,16.1048077223858
Full,Reading,7600043,-4.54579303377049,13.0589912824616
Full,Reading,7600044,-11.8453696884137,14.1978022767368
Full,Reading,7600045,45.9088780664974,17.1730614418053
Full,Reading,7600046,-12.314788738187,14.8352221600787
Full,Reading,7600047,3.48692840602312,14.7325488654853
Full,Reading,7600048,1.6466900575881,13.7901642955146
Full,Reading,7600050,-15.9829509452471,18.8008257481301
Full,Reading,7600051,19.2305577570016,14.6990371365298
Full,Reading,7600052,-15.2083182180512,22.0600561966064
Full,Reading,7600053,1.22078414441301,17.853098203295
Full,Reading,7600054,-23.1503730105487,16.7814350574075
Full,Reading,7600055,-6.93314393406512,15.5745227170148
Full,Reading,7600057,15.5106054394025,16.8236552987737
Full,Reading,7600058,0.969627410043656,12.9294610644827
Full,Reading,7600060,11.5895411095473,11.4621820195545
Full,Reading,7600061,10.510986176958,14.2515570440082
Full,Reading,7600062,-2.42723866313558,21.0945028287477
Full,Reading,7600063,55.508520616331,12.9427124000874
Full,Reading,7600064,20.0618648688313,13.9734458235218
Full,Reading,7600065,-25.0870680805506,14.7196091330908
Full,Reading,7600066,-6.2838537502533,12.8890227668875
Full,Reading,7600067,17.1302701098911,16.7109284924435
Full,Reading,7600068,-7.31069270963549,13.8576169895245
Full,Reading,7600069,-19.9130734704743,18.346153951652
Full,Reading,7600070,-30.7047034721884,14.1797394139015
Full,Reading,7600071,10.6149637798611,22.2956559476936
Full,Reading,7600072,17.5298004391967,15.2770249581276
Full,Reading,7600073,1.46882996094516,19.2134218176152
Full,Reading,7600074,-4.29053008553817,15.872757829631
Full,Reading,7600075,27.0529805745842,11.9163641181752
Full,Reading,7600076,-45.0013641433455,14.9004602159789
Full,Reading,7600077,-5.97150701143572,19.205077551398
Full,Reading,7600078,40.187584045229,12.8233030436543
Full,Reading,7600080,-15.0593715999987,20.7292271084712
Full,Reading,7600081,-21.4752289291539,17.6199925711453
Full,Reading,7600082,42.5070610313584,20.0131890571014
Full,Reading,7600083,25.9714522743012,11.6720029386083
Full,Reading,7600084,-2.49177501606924,15.3364759854808
Full,Reading,7600085,12.6982563215838,12.924638270553
Full,Reading,7600086,-10.9713180189557,14.989220465796
Full,Reading,7600087,-3.22831345777468,13.9596141722446
Full,Reading,7600088,-1.88607226420523,12.6519494739979
Full,Reading,7600089,20.7470598922099,13.4319872936269
Full,Reading,7600092,-8.6227671497175,12.9309368072651
Full,Reading,7600093,-8.79705783932518,15.1872353392502
Full,Reading,7600094,0.835515518854062,10.3217061380965
Full,Reading,7600095,39.5827613666607,18.5397538053563
Full,Reading,7600097,10.9100307135645,15.7234014654735
Full,Reading,7600098,7.23604905874235,12.4513267400662
Full,Reading,7600099,22.9687045092067,15.0659129390743
Full,Reading,7600100,-34.4625553825594,13.8082234322403
Full,Reading,7600101,5.91258620471417,14.0318036197437
Full,Reading,7600102,15.7450379552286,22.0595972253515
Full,Reading,7600103,-14.160926483441,12.8064093528379
Full,Reading,7600105,-5.47016582544341,16.1977852521334
Full,Reading,7600106,-24.3666191534876,13.9518900812737
Full,Reading,7600107,-7.12411151208876,14.3366319107326
Full,Reading,7600108,8.43987684115753,13.1892211931655
Full,Reading,7600109,-2.63049573705198,13.6321046715113
Full,Reading,7600110,-3.7884920742435,14.4835118635065
Full,Reading,7600111,0.191327708173465,18.209231003911
Full,Reading,7600113,33.3710018740426,13.4967585670785
Full,Reading,7600114,20.7829897808505,17.1096158591501
Full,Reading,7600115,-13.6564265332873,19.499513549331
Full,Reading,7600116,-7.64424447597186,14.551163850534
Full,Reading,7600117,10.4110106924647,12.9614050152856
Full,Reading,7600119,-19.1568424916267,12.8684919229087
Full,Reading,7600121,-6.62130109082117,12.6863291012668
Full,Reading,7600122,4.63013160829586,20.4270434310818
Full,Reading,7600123,11.3871393607379,14.2028303600655
Full,Reading,7600124,-1.75492181215604,12.4832178367146
Full,Reading,7600125,40.5547688661343,21.4520201952518
Full,Reading,7600127,-53.2858061779373,15.2782838644127
Full,Reading,7600128,-4.3137335968726,17.0546280478696
Full,Reading,7600129,-29.0282611218433,16.9384695378418
Full,Reading,7600130,25.2316276987661,12.2137785468181
Full,Reading,7600131,-19.8942443122209,10.9022780445236
Full,Reading,7600132,17.1618660244205,16.7843118391613
Full,Reading,7600133,-33.711173075062,14.4487574865984
Full,Reading,7600136,20.4316459336687,13.9179268027241
Full,Reading,7600137,0.21977816305582,18.7006758624012
Full,Reading,7600138,-23.7579953949507,13.6208307640169
Full,Reading,7600139,17.2776772823173,15.2664406789069
Full,Reading,7600140,-3.64995128594497,11.9261857735233
