Variable,Coef,S.E.,t.value,p.value,Area
(Intercept),454.75986599796,9.12036639397337,49.8620171990524,0,Reading
SEXMale,-14.8777151833981,2.21661992067123,-6.71189275376215,0,Reading
GRADEBehind,-46.5306167950113,3.48919522066302,-13.3356300958619,0,Reading
GRADEAhead,33.3865777739307,2.73020084016331,12.2286160354172,0,Reading
ISCEDOVocational,27.9248851707751,4.17019792170014,6.69629732091719,0,Reading
DISCLIMA,5.7977002214522,1.10180547764676,5.26199981673258,0,Reading
ESCS,5.63704043866889,1.34522104771172,4.19041944686916,0.000014,Reading
SCHLTYPEPrivateInd,43.9021961759391,5.35446429479128,8.19917619371303,0,Reading
mESCS,27.3418015563337,2.43955750375814,11.2076889002262,0,Reading
(Intercept),403.778890987423,7.90929550746263,51.0511828274019,0,Mathematics
SEXMale,18.4210245177124,2.47997570013026,7.42790524792032,0,Mathematics
GRADEBehind,-38.9968192676507,3.94691129839331,-9.8803384012013,0,Mathematics
GRADEAhead,28.336250185378,2.7887663316351,10.1608549500682,0,Mathematics
ISCEDOVocational,25.7991446811117,5.07553952264623,5.08303492978434,0,Mathematics
DISCLIMA,5.28785347124387,1.11254696997143,4.75292604624116,0.000001,Mathematics
ESCS,6.92031710032718,1.3727515200028,5.04120155722942,0,Mathematics
SCHLTYPEPrivateInd,43.5831280098315,4.61374036011388,9.44637639053355,0,Mathematics
mESCS,22.7830421996558,2.55715389307527,8.90953112417362,0,Mathematics
(Intercept),429.7446514395,8.94092808846065,48.0648817648067,0,Sciences
SEXMale,9.28866945552683,2.30421101610563,4.03117136000231,0.000028,Sciences
GRADEBehind,-41.6052580567192,3.72445414371171,-11.1708337520988,0,Sciences
GRADEAhead,31.2870684988443,2.8222453721978,11.0858782184767,0,Sciences
ISCEDOVocational,23.4975004369242,3.86501668786117,6.07953401875927,0,Sciences
DISCLIMA,4.96465218189498,1.22769637785672,4.0438762151943,0.000026,Sciences
ESCS,7.09386157192471,1.19316134342358,5.94543362557326,0,Sciences
SCHLTYPEPrivateInd,42.3723038395513,4.81446848939253,8.80103461740543,0,Sciences
mESCS,23.3989500743502,2.52897818460096,9.25233369620475,0,Sciences
