model,area,school,condval,condsd
Type,Reading,7600001,-10.7477772468367,12.2248061259105
Type,Reading,7600002,5.23343892102268,12.9255080062713
Type,Reading,7600005,13.4191333327638,15.158814940874
Type,Reading,7600006,29.1811962816673,14.1571276148119
Type,Reading,7600007,-1.73450285130359,19.7697412778755
Type,Reading,7600009,-10.1537751564848,14.441886591661
Type,Reading,7600010,-1.34766177548858,23.2095890369614
Type,Reading,7600011,-63.6574506164417,10.2573178738432
Type,Reading,7600012,-20.8627760759866,22.5991265108197
Type,Reading,7600013,-18.4159303126838,20.2289180129419
Type,Reading,7600014,-31.1511911354463,22.7062621347078
Type,Reading,7600015,13.563994457554,15.4046138038858
Type,Reading,7600016,24.1865335861751,17.705285048984
Type,Reading,7600017,1.2145416650518,17.6138746263358
Type,Reading,7600018,64.648589148147,21.5473928393576
Type,Reading,7600019,15.6875530026551,12.3019832391031
Type,Reading,7600022,36.368633557206,11.6630180733442
Type,Reading,7600023,3.58524149002769,20.1369541990867
Type,Reading,7600024,5.1814087204907,26.2028928533409
Type,Reading,7600025,41.3947894025225,14.441691570007
Type,Reading,7600026,-57.9768647545801,12.8947532491846
Type,Reading,7600027,-31.6984911422397,13.553955700338
Type,Reading,7600028,-17.6622516059141,20.5208760864324
Type,Reading,7600029,21.5836594980175,14.7169948742396
Type,Reading,7600031,10.9113902565094,17.1912737650425
Type,Reading,7600033,-33.0282851421358,14.9232159807802
Type,Reading,7600034,5.93130452079367,16.412824614073
Type,Reading,7600035,37.1085017670588,13.7963882399376
Type,Reading,7600036,-15.5715766486445,11.1699666833142
Type,Reading,7600037,10.2482400042075,23.0517716878689
Type,Reading,7600038,-7.30007414447872,18.0284402730792
Type,Reading,7600039,36.643845248849,19.141450298302
Type,Reading,7600041,-35.5796621441367,13.5366516455294
Type,Reading,7600042,-31.3170549851125,16.93203676906
Type,Reading,7600043,-7.45747702062191,13.4895444847112
Type,Reading,7600044,-24.306681643916,14.7556088888868
Type,Reading,7600045,44.8829542650895,18.1863865141458
Type,Reading,7600046,-11.9023268396284,15.4747783368812
Type,Reading,7600047,-10.7022101842255,15.3583983405679
Type,Reading,7600048,3.1397934207596,14.2997453442521
Type,Reading,7600050,-20.0293156980838,20.1538068710609
Type,Reading,7600051,33.6647359220117,15.3204583706462
Type,Reading,7600052,-19.3824718030399,24.3386914046248
Type,Reading,7600053,-1.09068726489042,18.999632983407
Type,Reading,7600054,-21.8979917147009,17.7233596383741
Type,Reading,7600055,-1.99486269288651,16.3191606541236
Type,Reading,7600057,17.894372805642,17.773096535239
Type,Reading,7600058,-13.9923721077533,13.3469730863069
Type,Reading,7600060,11.5734869803692,11.7505815555889
Type,Reading,7600061,5.25064983344558,14.8159546417867
Type,Reading,7600062,14.6014518215169,23.0604542605514
Type,Reading,7600063,62.0430354770679,13.361545698404
Type,Reading,7600064,-8.0229885367162,14.5043296080263
Type,Reading,7600065,-38.0916851742954,15.3437461066352
Type,Reading,7600066,2.39948085988816,13.3025207670688
Type,Reading,7600067,8.21402217806749,17.640396517178
Type,Reading,7600068,-10.1084125755209,14.3749665761839
Type,Reading,7600069,-37.1512183137148,19.5969592279489
Type,Reading,7600070,-24.3167100394613,14.7353435658148
Type,Reading,7600071,23.9430902514159,24.6560577086903
Type,Reading,7600072,5.60134302305822,15.9780053390927
Type,Reading,7600073,16.5591014511505,20.6643392340931
Type,Reading,7600074,-0.834870769162466,16.6630787771526
Type,Reading,7600075,20.1174311623185,12.2412174574983
Type,Reading,7600076,-68.3342217817385,15.5488355176897
Type,Reading,7600077,-6.33818364679564,20.6539638370121
Type,Reading,7600078,40.3289987735813,13.2303352416366
Type,Reading,7600080,-36.2163281795979,22.5858356395078
Type,Reading,7600081,-30.1627758218941,18.7195115218772
Type,Reading,7600082,20.471501224602,21.6688260561559
Type,Reading,7600083,29.1628829867037,11.9768691854595
Type,Reading,7600084,-11.9976329312529,16.046030631492
Type,Reading,7600085,17.0586052933855,13.3416701418307
Type,Reading,7600086,-7.00995993298301,15.6497330633071
Type,Reading,7600087,10.2174307678518,14.488868800073
Type,Reading,7600088,2.45110633157731,13.0424560823011
Type,Reading,7600089,20.939113082964,13.9016866132363
Type,Reading,7600092,-7.52771128140106,13.348595829241
Type,Reading,7600093,-20.7212999842928,15.8754063020808
Type,Reading,7600094,1.59353855911282,10.5312035621782
Type,Reading,7600095,50.0840715463613,19.8333441894136
Type,Reading,7600097,-0.299025460825105,16.4906009597584
Type,Reading,7600098,12.0136269433423,12.8230874910697
Type,Reading,7600099,31.1005922642969,15.7370420463882
Type,Reading,7600100,-39.2646099028003,14.319876240664
Type,Reading,7600101,-1.29190197364101,14.5696000309468
Type,Reading,7600102,36.3909122527963,24.3380753022659
Type,Reading,7600103,-4.31995966436184,13.2117909727595
Type,Reading,7600105,-17.6625652283173,17.0401440353008
Type,Reading,7600106,-14.4260178382592,14.4802364656804
Type,Reading,7600107,-5.23496484942542,14.9115729677685
Type,Reading,7600108,19.9555042151013,13.6331710904573
Type,Reading,7600109,-5.70221227631789,14.1238043172078
Type,Reading,7600110,3.53013041274716,15.0769828147269
Type,Reading,7600111,0.683522691686915,19.430410949478
Type,Reading,7600113,15.8966427660817,13.9735012511878
Type,Reading,7600114,6.86955428073395,18.1111161228592
Type,Reading,7600115,-16.7721664886887,21.0213585698194
Type,Reading,7600116,-22.5415936384744,15.1533101532494
Type,Reading,7600117,16.4372137405878,13.3821071074021
Type,Reading,7600119,-22.4794373818328,13.2799623457343
Type,Reading,7600121,-9.41577745393943,13.0801130039286
Type,Reading,7600122,-4.69361585091657,22.1967226144232
Type,Reading,7600123,6.10747150398266,14.7612511578513
Type,Reading,7600124,-28.811258454627,12.8579155047568
Type,Reading,7600125,21.550948160314,23.5296578528156
Type,Reading,7600127,-61.7497315156212,15.9794450400854
Type,Reading,7600128,-2.30495004321949,18.0459610773336
Type,Reading,7600129,-37.6513992649553,17.9085710733255
Type,Reading,7600130,-3.90764805306264,12.564165954117
Type,Reading,7600131,-6.61377296556914,11.1497670001611
Type,Reading,7600132,9.61408483350453,17.7267472154936
Type,Reading,7600133,-37.6144544165271,15.0378063148969
Type,Reading,7600136,14.3374752893345,14.4422926270966
Type,Reading,7600137,10.9594449030526,20.030641500215
Type,Reading,7600138,-33.8813537199711,14.1112721131898
Type,Reading,7600139,7.24786074686974,15.9659023390698
Type,Reading,7600140,4.15522992186344,12.2518609760071
Type,Reading,7600143,-10.5125075188367,16.8304022935088
Type,Reading,7600144,2.88879186374335,12.7794846952443
Type,Reading,7600145,-16.4551192050774,18.7750101454757
Type,Reading,7600147,-10.8976591148427,13.3462716670388
Type,Reading,7600148,-0.758755617671085,24.0160896401037
Type,Reading,7600149,54.4463370027966,14.6437189373755
Type,Reading,7600150,4.04750213856392,14.9299579504509
Type,Reading,7600151,16.2870809775287,17.4134500500326
Type,Reading,7600152,-44.6448536481738,24.9352084929664
Type,Reading,7600153,-34.6253001578903,16.2297362105709
Type,Reading,7600155,13.8022260808771,20.5578272097849
Type,Reading,7600156,-48.2039441415818,11.9465151984676
Type,Reading,7600158,39.2283188347092,14.2604414871115
Type,Reading,7600159,11.8153998448022,12.245062089899
Type,Reading,7600161,17.724154006658,15.1782730554818
Type,Reading,7600163,-14.4799886034869,12.7422594087798
Type,Reading,7600164,7.03473152153241,13.790400404903
Type,Reading,7600165,9.42368132276694,12.8829352861015
Type,Reading,7600166,-20.7403295310269,17.0950323499173
Type,Reading,7600170,-18.5480016587379,16.1359778130161
Type,Reading,7600172,-10.5765332429302,14.6717354661177
Type,Reading,7600175,0.473505003861577,21.2471757306652
Type,Reading,7600176,10.7939975540042,13.7125802675085
Type,Reading,7600178,-6.3102097284898,13.2987640286289
Type,Reading,7600179,-12.6365884060046,13.1371025621946
Type,Reading,7600182,-39.4473038636715,17.03613523176
Type,Reading,7600183,49.6135306228938,15.7979378809414
