Variable,Coef,S.E.,t.value,p.value,Area
(Intercept),420.944494311571,6.96889652264044,60.4033210916554,0,Reading
SEXMale,-14.9134783738701,2.24843469186723,-6.63282701864249,0,Reading
GRADEBehind,-51.4454672623936,3.57834137402344,-14.376903119377,0,Reading
GRADEAhead,33.8718390591331,2.71026483232807,12.4976122831649,0,Reading
ISCEDOVocational,29.9371739113094,4.75076796171914,6.30154411929564,0,Reading
DISCLIMA,5.55033590520516,1.10615852949451,5.01766768253512,0,Reading
ESCS,7.6731920878512,1.36106059150554,5.63765649798405,0,Reading
SCHLTYPEPrivateInd,82.2047603987007,2.9284590854102,28.0709950185922,0,Reading
(Intercept),375.42953713631,5.78580001289697,64.8880943515937,0,Mathematics
SEXMale,18.3770000870901,2.49989379305132,7.35111233052003,0,Mathematics
GRADEBehind,-42.8391564658132,3.98709266449064,-10.7444597030167,0,Mathematics
GRADEAhead,28.6863997544183,2.76565760462497,10.3723612447349,0,Mathematics
ISCEDOVocational,27.6848832083821,5.5107747087638,5.02377336608495,0,Mathematics
DISCLIMA,5.12431492130209,1.11176259572739,4.60918089976704,0.000002,Mathematics
ESCS,8.53928909208491,1.37622447193635,6.20486647797369,0,Mathematics
SCHLTYPEPrivateInd,75.5669828435132,2.64852364010503,28.5317380971221,0,Mathematics
(Intercept),400.550608871711,6.73813456129759,59.4453264813659,0,Sciences
SEXMale,9.24703851305102,2.33142123198009,3.96626675017343,0.000037,Sciences
GRADEBehind,-45.5138462941298,3.82603707021613,-11.89581947557,0,Sciences
GRADEAhead,31.6587069829054,2.79912126054008,11.3102306174463,0,Sciences
ISCEDOVocational,25.3936858334198,4.30603586721497,5.89723044964876,0,Sciences
DISCLIMA,4.80032986167164,1.2325903696407,3.89450540901997,0.000049,Sciences
ESCS,8.72887220116715,1.19777901862836,7.28754809143599,0,Sciences
SCHLTYPEPrivateInd,75.3738544902692,2.86151410747121,26.3405496738504,0,Sciences
